Idx	EyeConf	HR_ROC	Accel_g	Score	Alert
 150	20.0	0.50	2.20	0.200	YES
 151	20.0	0.50	2.40	0.200	YES
 152	20.0	1.00	1.00	0.000	no
 153	20.0	1.00	1.20	0.000	no
 154	20.0	1.00	1.40	0.040	no
 155	20.0	1.00	1.60	0.120	no
 156	20.0	1.00	1.80	0.200	YES
 157	20.0	1.00	2.00	0.200	YES
 158	20.0	1.00	2.20	0.200	YES
 159	20.0	1.00	2.40	0.200	YES
 160	20.0	1.50	1.00	0.033	no
 161	20.0	1.50	1.20	0.033	no
 162	20.0	1.50	1.40	0.073	no
 163	20.0	1.50	1.60	0.153	no
 164	20.0	1.50	1.80	0.233	YES
 165	20.0	1.50	2.00	0.233	YES
 166	20.0	1.50	2.20	0.233	YES
 167	20.0	1.50	2.40	0.233	YES
 168	20.0	2.00	1.00	0.067	no
 169	20.0	2.00	1.20	0.067	no
 170	20.0	2.00	1.40	0.107	no
 171	20.0	2.00	1.60	0.187	no
 172	20.0	2.00	1.80	0.267	YES
 173	20.0	2.00	2.00	0.267	YES
 174	20.0	2.00	2.20	0.267	YES
 175	20.0	2.00	2.40	0.267	YES
 176	20.0	2.50	1.00	0.100	no
 177	20.0	2.50	1.20	0.100	no
 178	20.0	2.50	1.40	0.140	no
 179	20.0	2.50	1.60	0.220	YES
 180	20.0	2.50	1.80	0.300	YES
 181	20.0	2.50	2.00	0.300	YES
 182	20.0	2.50	2.20	0.300	YES
 183	20.0	2.50	2.40	0.300	YES
 184	20.0	3.00	1.00	0.133	no
 185	20.0	3.00	1.20	0.133	no
 186	20.0	3.00	1.40	0.173	no
 187	20.0	3.00	1.60	0.253	YES
 188	20.0	3.00	1.80	0.333	YES
 189	20.0	3.00	2.00	0.333	YES
 190	20.0	3.00	2.20	0.333	YES
 191	20.0	3.00	2.40	0.333	YES
 192	20.0	3.50	1.00	0.167	no
 193	20.0	3.50	1.20	0.167	no
 194	20.0	3.50	1.40	0.207	YES
 195	20.0	3.50	1.60	0.287	YES
 196	20.0	3.50	1.80	0.367	YES
 197	20.0	3.50	2.00	0.367	YES
 198	20.0	3.50	2.20	0.367	YES
 199	20.0	3.50	2.40	0.367	YES
 200	20.0	4.00	1.00	0.200	YES
 201	20.0	4.00	1.20	0.200	YES
 202	20.0	4.00	1.40	0.240	YES
 203	20.0	4.00	1.60	0.320	YES
 204	20.0	4.00	1.80	0.400	YES
 205	20.0	4.00	2.00	0.400	YES
 206	20.0	4.00	2.20	0.400	YES
 207	20.0	4.00	2.40	0.400	YES
 208	20.0	4.50	1.00	0.200	YES
 209	20.0	4.50	1.20	0.200	YES
 210	20.0	4.50	1.40	0.240	YES
 211	20.0	4.50	1.60	0.320	YES
 212	20.0	4.50	1.80	0.400	YES
 213	20.0	4.50	2.00	0.400	YES
 214	20.0	4.50	2.20	0.400	YES
 215	20.0	4.50	2.40	0.400	YES
 216	20.0	5.00	1.00	0.200	YES
 217	20.0	5.00	1.20	0.200	YES
 218	20.0	5.00	1.40	0.240	YES
 219	20.0	5.00	1.60	0.320	YES
 220	20.0	5.00	1.80	0.400	YES
 221	20.0	5.00	2.00	0.400	YES
 222	20.0	5.00	2.20	0.400	YES
 223	20.0	5.00	2.40	0.400	YES
 224	20.0	5.50	1.00	0.200	YES
 225	20.0	5.50	1.20	0.200	YES
 226	20.0	5.50	1.40	0.240	YES
 227	20.0	5.50	1.60	0.320	YES
 228	20.0	5.50	1.80	0.400	YES
 229	20.0	5.50	2.00	0.400	YES
 230	20.0	5.50	2.20	0.400	YES
 231	20.0	5.50	2.40	0.400	YES
 232	20.0	6.00	1.00	0.200	YES
 233	20.0	6.00	1.20	0.200	YES
 234	20.0	6.00	1.40	0.240	YES
 235	20.0	6.00	1.60	0.320	YES
 236	20.0	6.00	1.80	0.400	YES
 237	20.0	6.00	2.00	0.400	YES
 238	20.0	6.00	2.20	0.400	YES
 239	20.0	6.00	2.40	0.400	YES
 240	20.0	6.50	1.00	0.200	YES
 241	20.0	6.50	1.20	0.200	YES
 242	20.0	6.50	1.40	0.240	YES
 243	20.0	6.50	1.60	0.320	YES
 244	20.0	6.50	1.80	0.400	YES
 245	20.0	6.50	2.00	0.400	YES
 246	20.0	6.50	2.20	0.400	YES
 247	20.0	6.50	2.40	0.400	YES
 248	20.0	7.00	1.00	0.200	YES
 249	20.0	7.00	1.20	0.200	YES
 250	20.0	7.00	1.40	0.240	YES
 251	20.0	7.00	1.60	0.320	YES
 252	20.0	7.00	1.80	0.400	YES
 253	20.0	7.00	2.00	0.400	YES
 254	20.0	7.00	2.20	0.400	YES
 255	20.0	7.00	2.40	0.400	YES
 256	20.0	7.50	1.00	0.200	YES
 257	20.0	7.50	1.20	0.200	YES
 258	20.0	7.50	1.40	0.240	YES
 259	20.0	7.50	1.60	0.320	YES
 260	20.0	7.50	1.80	0.400	YES
 261	20.0	7.50	2.00	0.400	YES
 262	20.0	7.50	2.20	0.400	YES
 263	20.0	7.50	2.40	0.400	YES
 264	20.0	8.00	1.00	0.200	YES
 265	20.0	8.00	1.20	0.200	YES
 266	20.0	8.00	1.40	0.240	YES
 267	20.0	8.00	1.60	0.320	YES
 268	20.0	8.00	1.80	0.400	YES
 269	20.0	8.00	2.00	0.400	YES
 270	20.0	8.00	2.20	0.400	YES
 271	20.0	8.00	2.40	0.400	YES
 272	30.0	0.00	1.00	0.000	no
 273	30.0	0.00	1.20	0.000	no
 274	30.0	0.00	1.40	0.040	no
 275	30.0	0.00	1.60	0.120	no
 276	30.0	0.00	1.80	0.200	YES
 277	30.0	0.00	2.00	0.200	YES
 278	30.0	0.00	2.20	0.200	YES
 279	30.0	0.00	2.40	0.200	YES
 280	30.0	0.50	1.00	0.000	no
 281	30.0	0.50	1.20	0.000	no
 282	30.0	0.50	1.40	0.040	no
 283	30.0	0.50	1.60	0.120	no
 284	30.0	0.50	1.80	0.200	YES
 285	30.0	0.50	2.00	0.200	YES
 286	30.0	0.50	2.20	0.200	YES
 287	30.0	0.50	2.40	0.200	YES
 288	30.0	1.00	1.00	0.000	no
 289	30.0	1.00	1.20	0.000	no
 290	30.0	1.00	1.40	0.040	no
 291	30.0	1.00	1.60	0.120	no
 292	30.0	1.00	1.80	0.200	YES
 293	30.0	1.00	2.00	0.200	YES
 294	30.0	1.00	2.20	0.200	YES
 295	30.0	1.00	2.40	0.200	YES
 296	30.0	1.50	1.00	0.033	no
 297	30.0	1.50	1.20	0.033	no
 298	30.0	1.50	1.40	0.073	no
 299	30.0	1.50	1.60	0.153	no
 300	30.0	1.50	1.80	0.233	YES
 301	30.0	1.50	2.00	0.233	YES
 302	30.0	1.50	2.20	0.233	YES
 303	30.0	1.50	2.40	0.233	YES
 304	30.0	2.00	1.00	0.067	no
 305	30.0	2.00	1.20	0.067	no
 306	30.0	2.00	1.40	0.107	no
 307	30.0	2.00	1.60	0.187	no
 308	30.0	2.00	1.80	0.267	YES
 309	30.0	2.00	2.00	0.267	YES
 310	30.0	2.00	2.20	0.267	YES
 311	30.0	2.00	2.40	0.267	YES
 312	30.0	2.50	1.00	0.100	no
 313	30.0	2.50	1.20	0.100	no
 314	30.0	2.50	1.40	0.140	no
 315	30.0	2.50	1.60	0.220	YES
 316	30.0	2.50	1.80	0.300	YES
 317	30.0	2.50	2.00	0.300	YES
 318	30.0	2.50	2.20	0.300	YES
 319	30.0	2.50	2.40	0.300	YES
 320	30.0	3.00	1.00	0.133	no
 321	30.0	3.00	1.20	0.133	no
 322	30.0	3.00	1.40	0.173	no
 323	30.0	3.00	1.60	0.253	YES
 324	30.0	3.00	1.80	0.333	YES
 325	30.0	3.00	2.00	0.333	YES
 326	30.0	3.00	2.20	0.333	YES
 327	30.0	3.00	2.40	0.333	YES
 328	30.0	3.50	1.00	0.167	no
 329	30.0	3.50	1.20	0.167	no
 330	30.0	3.50	1.40	0.207	YES
 331	30.0	3.50	1.60	0.287	YES
 332	30.0	3.50	1.80	0.367	YES
 333	30.0	3.50	2.00	0.367	YES
 334	30.0	3.50	2.20	0.367	YES
 335	30.0	3.50	2.40	0.367	YES
 336	30.0	4.00	1.00	0.200	YES
 337	30.0	4.00	1.20	0.200	YES
 338	30.0	4.00	1.40	0.240	YES
 339	30.0	4.00	1.60	0.320	YES
 340	30.0	4.00	1.80	0.400	YES
 341	30.0	4.00	2.00	0.400	YES
 342	30.0	4.00	2.20	0.400	YES
 343	30.0	4.00	2.40	0.400	YES
 344	30.0	4.50	1.00	0.200	YES
 345	30.0	4.50	1.20	0.200	YES
 346	30.0	4.50	1.40	0.240	YES
 347	30.0	4.50	1.60	0.320	YES
 348	30.0	4.50	1.80	0.400	YES
 349	30.0	4.50	2.00	0.400	YES
 350	30.0	4.50	2.20	0.400	YES
 351	30.0	4.50	2.40	0.400	YES
 352	30.0	5.00	1.00	0.200	YES
 353	30.0	5.00	1.20	0.200	YES
 354	30.0	5.00	1.40	0.240	YES
 355	30.0	5.00	1.60	0.320	YES
 356	30.0	5.00	1.80	0.400	YES
 357	30.0	5.00	2.00	0.400	YES
 358	30.0	5.00	2.20	0.400	YES
 359	30.0	5.00	2.40	0.400	YES
 360	30.0	5.50	1.00	0.200	YES
 361	30.0	5.50	1.20	0.200	YES
 362	30.0	5.50	1.40	0.240	YES
 363	30.0	5.50	1.60	0.320	YES
 364	30.0	5.50	1.80	0.400	YES
 365	30.0	5.50	2.00	0.400	YES
 366	30.0	5.50	2.20	0.400	YES
 367	30.0	5.50	2.40	0.400	YES
 368	30.0	6.00	1.00	0.200	YES
 369	30.0	6.00	1.20	0.200	YES
 370	30.0	6.00	1.40	0.240	YES
 371	30.0	6.00	1.60	0.320	YES
 372	30.0	6.00	1.80	0.400	YES
 373	30.0	6.00	2.00	0.400	YES
 374	30.0	6.00	2.20	0.400	YES
 375	30.0	6.00	2.40	0.400	YES
 376	30.0	6.50	1.00	0.200	YES
 377	30.0	6.50	1.20	0.200	YES
 378	30.0	6.50	1.40	0.240	YES
 379	30.0	6.50	1.60	0.320	YES
 380	30.0	6.50	1.80	0.400	YES
 381	30.0	6.50	2.00	0.400	YES
 382	30.0	6.50	2.20	0.400	YES
 383	30.0	6.50	2.40	0.400	YES
 384	30.0	7.00	1.00	0.200	YES
 385	30.0	7.00	1.20	0.200	YES
 386	30.0	7.00	1.40	0.240	YES
 387	30.0	7.00	1.60	0.320	YES
 388	30.0	7.00	1.80	0.400	YES
 389	30.0	7.00	2.00	0.400	YES
 390	30.0	7.00	2.20	0.400	YES
 391	30.0	7.00	2.40	0.400	YES
 392	30.0	7.50	1.00	0.200	YES
 393	30.0	7.50	1.20	0.200	YES
 394	30.0	7.50	1.40	0.240	YES
 395	30.0	7.50	1.60	0.320	YES
 396	30.0	7.50	1.80	0.400	YES
 397	30.0	7.50	2.00	0.400	YES
 398	30.0	7.50	2.20	0.400	YES
 399	30.0	7.50	2.40	0.400	YES
 400	30.0	8.00	1.00	0.200	YES
 401	30.0	8.00	1.20	0.200	YES
 402	30.0	8.00	1.40	0.240	YES
 403	30.0	8.00	1.60	0.320	YES
 404	30.0	8.00	1.80	0.400	YES
 405	30.0	8.00	2.00	0.400	YES
 406	30.0	8.00	2.20	0.400	YES
 407	30.0	8.00	2.40	0.400	YES
 408	50.0	0.00	1.00	0.000	no
 409	50.0	0.00	1.20	0.000	no
 410	50.0	0.00	1.40	0.040	no
 411	50.0	0.00	1.60	0.120	no
 412	50.0	0.00	1.80	0.200	YES
 413	50.0	0.00	2.00	0.200	YES
 414	50.0	0.00	2.20	0.200	YES
 415	50.0	0.00	2.40	0.200	YES
 416	50.0	0.50	1.00	0.000	no
 417	50.0	0.50	1.20	0.000	no
 418	50.0	0.50	1.40	0.040	no
 419	50.0	0.50	1.60	0.120	no
 420	50.0	0.50	1.80	0.200	YES
 421	50.0	0.50	2.00	0.200	YES
 422	50.0	0.50	2.20	0.200	YES
 423	50.0	0.50	2.40	0.200	YES
 424	50.0	1.00	1.00	0.000	no
 425	50.0	1.00	1.20	0.000	no
 426	50.0	1.00	1.40	0.040	no
 427	50.0	1.00	1.60	0.120	no
 428	50.0	1.00	1.80	0.200	YES
 429	50.0	1.00	2.00	0.200	YES
 430	50.0	1.00	2.20	0.200	YES
 431	50.0	1.00	2.40	0.200	YES
 432	50.0	1.50	1.00	0.033	no
 433	50.0	1.50	1.20	0.033	no
 434	50.0	1.50	1.40	0.073	no
 435	50.0	1.50	1.60	0.153	no
 436	50.0	1.50	1.80	0.233	YES
 437	50.0	1.50	2.00	0.233	YES
 438	50.0	1.50	2.20	0.233	YES
 439	50.0	1.50	2.40	0.233	YES
 440	50.0	2.00	1.00	0.067	no
 441	50.0	2.00	1.20	0.067	no
 442	50.0	2.00	1.40	0.107	no
 443	50.0	2.00	1.60	0.187	no
 444	50.0	2.00	1.80	0.267	YES
 445	50.0	2.00	2.00	0.267	YES
 446	50.0	2.00	2.20	0.267	YES
 447	50.0	2.00	2.40	0.267	YES
 448	50.0	2.50	1.00	0.100	no
 449	50.0	2.50	1.20	0.100	no
 450	50.0	2.50	1.40	0.140	no
 451	50.0	2.50	1.60	0.220	YES
 452	50.0	2.50	1.80	0.300	YES
 453	50.0	2.50	2.00	0.300	YES
 454	50.0	2.50	2.20	0.300	YES
 455	50.0	2.50	2.40	0.300	YES
 456	50.0	3.00	1.00	0.133	no
 457	50.0	3.00	1.20	0.133	no
 458	50.0	3.00	1.40	0.173	no
 459	50.0	3.00	1.60	0.253	YES
 460	50.0	3.00	1.80	0.333	YES
 461	50.0	3.00	2.00	0.333	YES
 462	50.0	3.00	2.20	0.333	YES
 463	50.0	3.00	2.40	0.333	YES
 464	50.0	3.50	1.00	0.167	no
 465	50.0	3.50	1.20	0.167	no
 466	50.0	3.50	1.40	0.207	YES
 467	50.0	3.50	1.60	0.287	YES
 468	50.0	3.50	1.80	0.367	YES
 469	50.0	3.50	2.00	0.367	YES
 470	50.0	3.50	2.20	0.367	YES
 471	50.0	3.50	2.40	0.367	YES
 472	50.0	4.00	1.00	0.200	YES
 473	50.0	4.00	1.20	0.200	YES
 474	50.0	4.00	1.40	0.240	YES
 475	50.0	4.00	1.60	0.320	YES
 476	50.0	4.00	1.80	0.400	YES
 477	50.0	4.00	2.00	0.400	YES
 478	50.0	4.00	2.20	0.400	YES
 479	50.0	4.00	2.40	0.400	YES
 480	50.0	4.50	1.00	0.200	YES
 481	50.0	4.50	1.20	0.200	YES
 482	50.0	4.50	1.40	0.240	YES
 483	50.0	4.50	1.60	0.320	YES
 484	50.0	4.50	1.80	0.400	YES
 485	50.0	4.50	2.00	0.400	YES
 486	50.0	4.50	2.20	0.400	YES
 487	50.0	4.50	2.40	0.400	YES
 488	50.0	5.00	1.00	0.200	YES
 489	50.0	5.00	1.20	0.200	YES
 490	50.0	5.00	1.40	0.240	YES
 491	50.0	5.00	1.60	0.320	YES
 492	50.0	5.00	1.80	0.400	YES
 493	50.0	5.00	2.00	0.400	YES
 494	50.0	5.00	2.20	0.400	YES
 495	50.0	5.00	2.40	0.400	YES
 496	50.0	5.50	1.00	0.200	YES
 497	50.0	5.50	1.20	0.200	YES
 498	50.0	5.50	1.40	0.240	YES
 499	50.0	5.50	1.60	0.320	YES
 500	50.0	5.50	1.80	0.400	YES
 501	50.0	5.50	2.00	0.400	YES
 502	50.0	5.50	2.20	0.400	YES
 503	50.0	5.50	2.40	0.400	YES
 504	50.0	6.00	1.00	0.200	YES
 505	50.0	6.00	1.20	0.200	YES
 506	50.0	6.00	1.40	0.240	YES
 507	50.0	6.00	1.60	0.320	YES
 508	50.0	6.00	1.80	0.400	YES
 509	50.0	6.00	2.00	0.400	YES
 510	50.0	6.00	2.20	0.400	YES
 511	50.0	6.00	2.40	0.400	YES
 512	50.0	6.50	1.00	0.200	YES
 513	50.0	6.50	1.20	0.200	YES
 514	50.0	6.50	1.40	0.240	YES
 515	50.0	6.50	1.60	0.320	YES
 516	50.0	6.50	1.80	0.400	YES
 517	50.0	6.50	2.00	0.400	YES
 518	50.0	6.50	2.20	0.400	YES
 519	50.0	6.50	2.40	0.400	YES
 520	50.0	7.00	1.00	0.200	YES
 521	50.0	7.00	1.20	0.200	YES
 522	50.0	7.00	1.40	0.240	YES
 523	50.0	7.00	1.60	0.320	YES
 524	50.0	7.00	1.80	0.400	YES
 525	50.0	7.00	2.00	0.400	YES
 526	50.0	7.00	2.20	0.400	YES
 527	50.0	7.00	2.40	0.400	YES
 528	50.0	7.50	1.00	0.200	YES
 529	50.0	7.50	1.20	0.200	YES
 530	50.0	7.50	1.40	0.240	YES
 531	50.0	7.50	1.60	0.320	YES
 532	50.0	7.50	1.80	0.400	YES
 533	50.0	7.50	2.00	0.400	YES
 534	50.0	7.50	2.20	0.400	YES
 535	50.0	7.50	2.40	0.400	YES
 536	50.0	8.00	1.00	0.200	YES
 537	50.0	8.00	1.20	0.200	YES
 538	50.0	8.00	1.40	0.240	YES
 539	50.0	8.00	1.60	0.320	YES
 540	50.0	8.00	1.80	0.400	YES
 541	50.0	8.00	2.00	0.400	YES
 542	50.0	8.00	2.20	0.400	YES
 543	50.0	8.00	2.40	0.400	YES
 544	65.0	0.00	1.00	0.009	no
 545	65.0	0.00	1.20	0.009	no
 546	65.0	0.00	1.40	0.049	no
 547	65.0	0.00	1.60	0.129	no
 548	65.0	0.00	1.80	0.209	YES
 549	65.0	0.00	2.00	0.209	YES
 550	65.0	0.00	2.20	0.209	YES
 551	65.0	0.00	2.40	0.209	YES
 552	65.0	0.50	1.00	0.009	no
 553	65.0	0.50	1.20	0.009	no
 554	65.0	0.50	1.40	0.049	no
 555	65.0	0.50	1.60	0.129	no
 556	65.0	0.50	1.80	0.209	YES
 557	65.0	0.50	2.00	0.209	YES
 558	65.0	0.50	2.20	0.209	YES
 559	65.0	0.50	2.40	0.209	YES
 560	65.0	1.00	1.00	0.009	no
 561	65.0	1.00	1.20	0.009	no
 562	65.0	1.00	1.40	0.049	no
 563	65.0	1.00	1.60	0.129	no
 564	65.0	1.00	1.80	0.209	YES
 565	65.0	1.00	2.00	0.209	YES
 566	65.0	1.00	2.20	0.209	YES
 567	65.0	1.00	2.40	0.209	YES
 568	65.0	1.50	1.00	0.043	no
 569	65.0	1.50	1.20	0.043	no
 570	65.0	1.50	1.40	0.083	no
 571	65.0	1.50	1.60	0.163	no
 572	65.0	1.50	1.80	0.243	YES
 573	65.0	1.50	2.00	0.243	YES
 574	65.0	1.50	2.20	0.243	YES
 575	65.0	1.50	2.40	0.243	YES
 576	65.0	2.00	1.00	0.076	no
 577	65.0	2.00	1.20	0.076	no
 578	65.0	2.00	1.40	0.116	no
 579	65.0	2.00	1.60	0.196	no
 580	65.0	2.00	1.80	0.276	YES
 581	65.0	2.00	2.00	0.276	YES
 582	65.0	2.00	2.20	0.276	YES
 583	65.0	2.00	2.40	0.276	YES
 584	65.0	2.50	1.00	0.109	no
 585	65.0	2.50	1.20	0.109	no
 586	65.0	2.50	1.40	0.149	no
 587	65.0	2.50	1.60	0.229	YES
 588	65.0	2.50	1.80	0.309	YES
 589	65.0	2.50	2.00	0.309	YES
 590	65.0	2.50	2.20	0.309	YES
 591	65.0	2.50	2.40	0.309	YES
 592	65.0	3.00	1.00	0.143	no
 593	65.0	3.00	1.20	0.143	no
 594	65.0	3.00	1.40	0.183	no
 595	65.0	3.00	1.60	0.263	YES
 596	65.0	3.00	1.80	0.343	YES
 597	65.0	3.00	2.00	0.343	YES
 598	65.0	3.00	2.20	0.343	YES
 599	65.0	3.00	2.40	0.343	YES
 600	65.0	3.50	1.00	0.176	no
 601	65.0	3.50	1.20	0.176	no
 602	65.0	3.50	1.40	0.216	YES
 603	65.0	3.50	1.60	0.296	YES
 604	65.0	3.50	1.80	0.376	YES
 605	65.0	3.50	2.00	0.376	YES
 606	65.0	3.50	2.20	0.376	YES
 607	65.0	3.50	2.40	0.376	YES
 608	65.0	4.00	1.00	0.209	YES
 609	65.0	4.00	1.20	0.209	YES
 610	65.0	4.00	1.40	0.249	YES
 611	65.0	4.00	1.60	0.329	YES
 612	65.0	4.00	1.80	0.409	YES
 613	65.0	4.00	2.00	0.409	YES
 614	65.0	4.00	2.20	0.409	YES
 615	65.0	4.00	2.40	0.409	YES
 616	65.0	4.50	1.00	0.209	YES
 617	65.0	4.50	1.20	0.209	YES
 618	65.0	4.50	1.40	0.249	YES
 619	65.0	4.50	1.60	0.329	YES
 620	65.0	4.50	1.80	0.409	YES
 621	65.0	4.50	2.00	0.409	YES
 622	65.0	4.50	2.20	0.409	YES
 623	65.0	4.50	2.40	0.409	YES
 624	65.0	5.00	1.00	0.209	YES
 625	65.0	5.00	1.20	0.209	YES
 626	65.0	5.00	1.40	0.249	YES
 627	65.0	5.00	1.60	0.329	YES
 628	65.0	5.00	1.80	0.409	YES
 629	65.0	5.00	2.00	0.409	YES
 630	65.0	5.00	2.20	0.409	YES
 631	65.0	5.00	2.40	0.409	YES
 632	65.0	5.50	1.00	0.209	YES
 633	65.0	5.50	1.20	0.209	YES
 634	65.0	5.50	1.40	0.249	YES
 635	65.0	5.50	1.60	0.329	YES
 636	65.0	5.50	1.80	0.409	YES
 637	65.0	5.50	2.00	0.409	YES
 638	65.0	5.50	2.20	0.409	YES
